7.140000000000000000e+02,3.658000000000000000e+03
4.464000000000000000e+03,4.558000000000000000e+03
5.077000000000000000e+03,5.306000000000000000e+03
5.422000000000000000e+03,5.808000000000000000e+03
7.379000000000000000e+03,7.551000000000000000e+03
8.348000000000000000e+03,8.801000000000000000e+03
8.971000000000000000e+03,9.307000000000000000e+03
9.460000000000000000e+03,9.555000000000000000e+03
9.861000000000000000e+03,1.011000000000000000e+04
1.203000000000000000e+04,1.235800000000000000e+04
1.301300000000000000e+04,1.309600000000000000e+04
1.361900000000000000e+04,1.395600000000000000e+04
1.601200000000000000e+04,1.620000000000000000e+04
1.636200000000000000e+04,1.670800000000000000e+04
1.696700000000000000e+04,1.765800000000000000e+04
1.796500000000000000e+04,1.815700000000000000e+04
1.852200000000000000e+04,1.900300000000000000e+04
2.174000000000000000e+04,2.185300000000000000e+04
2.291500000000000000e+04,2.304100000000000000e+04
2.431200000000000000e+04,2.439800000000000000e+04
2.724700000000000000e+04,2.749600000000000000e+04
2.980600000000000000e+04,2.988200000000000000e+04
3.276200000000000000e+04,3.298900000000000000e+04
3.369400000000000000e+04,3.383300000000000000e+04
3.406900000000000000e+04,3.413900000000000000e+04
3.680900000000000000e+04,3.692400000000000000e+04
3.702100000000000000e+04,3.758400000000000000e+04
3.838700000000000000e+04,3.858400000000000000e+04
3.942000000000000000e+04,3.982300000000000000e+04
4.152100000000000000e+04,4.188100000000000000e+04
4.264200000000000000e+04,4.282000000000000000e+04
4.300100000000000000e+04,4.358000000000000000e+04
4.480200000000000000e+04,4.488100000000000000e+04
4.559900000000000000e+04,4.572800000000000000e+04
4.684300000000000000e+04,4.702800000000000000e+04
4.808200000000000000e+04,4.817600000000000000e+04
4.824400000000000000e+04,4.832800000000000000e+04
5.261100000000000000e+04,5.283000000000000000e+04
5.359000000000000000e+04,5.378200000000000000e+04
5.465800000000000000e+04,5.473100000000000000e+04
5.498900000000000000e+04,5.507800000000000000e+04
5.595400000000000000e+04,5.637700000000000000e+04
5.724400000000000000e+04,5.738100000000000000e+04
5.760900000000000000e+04,5.772700000000000000e+04
6.050300000000000000e+04,6.082800000000000000e+04
6.151000000000000000e+04,6.157800000000000000e+04
6.311500000000000000e+04,6.338900000000000000e+04
6.349600000000000000e+04,6.358200000000000000e+04
6.495900000000000000e+04,6.559200000000000000e+04
7.021400000000000000e+04,7.028200000000000000e+04
7.286300000000000000e+04,7.299100000000000000e+04
7.339200000000000000e+04,7.350100000000000000e+04
7.492200000000000000e+04,7.504700000000000000e+04
7.792400000000000000e+04,7.815300000000000000e+04
7.886900000000000000e+04,7.904400000000000000e+04
7.942000000000000000e+04,7.944900000000000000e+04
8.060600000000000000e+04,8.074900000000000000e+04
8.251000000000000000e+04,8.264500000000000000e+04
8.267600000000000000e+04,8.295900000000000000e+04
8.331900000000000000e+04,8.344600000000000000e+04
8.532300000000000000e+04,8.545700000000000000e+04
8.764700000000000000e+04,8.806100000000000000e+04
8.996000000000000000e+04,9.035300000000000000e+04
9.297300000000000000e+04,9.316700000000000000e+04
9.329900000000000000e+04,9.345400000000000000e+04
9.642500000000000000e+04,9.661800000000000000e+04
9.667500000000000000e+04,9.681600000000000000e+04
9.768900000000000000e+04,9.826900000000000000e+04
1.024970000000000000e+05,1.025570000000000000e+05
1.025570000000000000e+05,1.028720000000000000e+05
1.031450000000000000e+05,1.033120000000000000e+05
1.034820000000000000e+05,1.036140000000000000e+05
1.036640000000000000e+05,1.037230000000000000e+05
1.062140000000000000e+05,1.064150000000000000e+05
1.079210000000000000e+05,1.081070000000000000e+05
1.126390000000000000e+05,1.130190000000000000e+05
1.142120000000000000e+05,1.144710000000000000e+05
1.153190000000000000e+05,1.155620000000000000e+05
1.163310000000000000e+05,1.164580000000000000e+05
1.166760000000000000e+05,1.167630000000000000e+05
1.173220000000000000e+05,1.176680000000000000e+05
1.214960000000000000e+05,1.216570000000000000e+05
1.226610000000000000e+05,1.228680000000000000e+05
1.238330000000000000e+05,1.239180000000000000e+05
1.267040000000000000e+05,1.268670000000000000e+05
1.302020000000000000e+05,1.307520000000000000e+05
1.308040000000000000e+05,1.309610000000000000e+05
1.310620000000000000e+05,1.311580000000000000e+05
1.314430000000000000e+05,1.315460000000000000e+05
1.324700000000000000e+05,1.326040000000000000e+05
1.334130000000000000e+05,1.335610000000000000e+05
1.343740000000000000e+05,1.347580000000000000e+05
1.386440000000000000e+05,1.387440000000000000e+05
1.457290000000000000e+05,1.458920000000000000e+05
1.468180000000000000e+05,1.469900000000000000e+05
1.494860000000000000e+05,1.496430000000000000e+05
1.503290000000000000e+05,1.507880000000000000e+05
1.511970000000000000e+05,1.512860000000000000e+05
1.519460000000000000e+05,1.521820000000000000e+05
1.530330000000000000e+05,1.530700000000000000e+05
1.591410000000000000e+05,1.592730000000000000e+05
1.593190000000000000e+05,1.594640000000000000e+05
1.598200000000000000e+05,1.599150000000000000e+05
1.624760000000000000e+05,1.628160000000000000e+05
1.632710000000000000e+05,1.633060000000000000e+05
1.637970000000000000e+05,1.639620000000000000e+05
1.661230000000000000e+05,1.662630000000000000e+05
1.671630000000000000e+05,1.673120000000000000e+05
1.730250000000000000e+05,1.731530000000000000e+05
1.756700000000000000e+05,1.757560000000000000e+05
1.829870000000000000e+05,1.831500000000000000e+05
1.842360000000000000e+05,1.843980000000000000e+05
1.921750000000000000e+05,1.923420000000000000e+05
1.939830000000000000e+05,1.940460000000000000e+05
1.977730000000000000e+05,1.979930000000000000e+05
2.027430000000000000e+05,2.028490000000000000e+05
