5.665244674682617188e+01,1.200004790438291558e-02,3.104314077432304475e+04,2.019839096069335938e+01,3.880015489083788460e-01,4.506879806248676687e+03,2.856011401243118697e-01,6.736026890326907157e-01,6.772027034040055682e-01,1.463205841141082431e+00
3.346091842651367188e+01,5.200020758565848666e-03,1.794379108113449206e+01,2.480328559875488281e+00,4.400017564940350567e-03,5.720299992358708618e-02,1.785607128172168379e+00,1.790007145737108729e+00,1.792007153721172585e+00,1.823207278272567899e+00
1.191699123382568359e+01,6.400025549004206837e-02,1.000888065465465644e+02,1.191699123382568359e+01,5.640022515059950337e-02,5.180665706000397819e+01,2.030808107018391429e+00,2.087208332168990932e+00,2.052808194843093403e+00,2.122408472688513736e+00
1.406295108795166016e+01,9.520038004143760446e-02,3.723986267957494078e+02,7.468719482421875000e-01,3.200012774502436486e-03,1.380227983036826957e-02,2.168808657918793958e+00,2.172008670693296395e+00,2.213608836761823628e+00,2.323209274288520199e+00
1.010974807739257812e+02,9.200036726693561207e-03,1.969789405430578313e+02,3.769959449768066406e+00,4.800019161752988595e-03,1.247206913684328483e-01,2.951611782881368828e+00,2.956411802043121817e+00,2.959611814817624253e+00,3.020412057533163885e+00
2.572714233398437500e+02,3.200012774502081214e-02,4.279535988222334709e+03,1.100759792327880859e+01,2.400009580876716342e-03,9.826838469008986054e-02,3.339213330192934759e+00,3.341613339773811475e+00,3.355213394065445609e+00,3.520414053549115962e+00
5.153012466430664062e+01,2.160008622788911481e-02,5.240584067925690306e+02,1.113016223907470703e+01,4.720018842390549807e-02,4.209358965998583102e+01,3.588414325007285743e+00,3.635614513431191241e+00,3.643214543770633806e+00,3.722814861536373421e+00
6.106248092651367188e+01,6.800027145816844865e-03,4.435654745721573988e+01,-1.070084571838378906e+00,8.000031936257201437e-04,4.732586870468793831e-03,3.784015105848725913e+00,3.784815109042351633e+00,3.787215118623227905e+00,3.822015257545938294e+00
3.628570938110351562e+01,3.080012295458267602e-02,2.839081680871257163e+02,-2.112873077392578125e+00,4.000015968128600719e-04,1.193566127955550090e-03,3.944415746170643278e+00,3.944815747767456138e+00,3.974415865931600678e+00,4.044016143777021455e+00
4.943164443969726562e+01,4.240016926215250948e-02,7.119749651646500297e+02,2.406647682189941406e+00,3.600014371315296557e-03,4.691698569424072179e-02,4.812019209657523611e+00,4.815619224028838907e+00,4.834019297482225141e+00,4.943219733412109740e+00
9.138924407958984375e+01,5.200020758565848666e-03,3.706577706301405328e+01,1.825098037719726562e+00,1.200004790438136126e-03,1.450000886540526307e-02,5.205220779324468694e+00,5.206420784114906830e+00,5.209220795292596407e+00,5.238420911859927642e+00
1.948403320312500000e+02,2.960011816414453989e-02,2.182786297859675415e+03,2.579230308532714844e+00,1.600006387250552109e-03,1.564088427703385839e-02,5.447621746993002390e+00,5.449221753380252942e+00,5.463621810865512352e+00,5.582422285118902927e+00
6.936917114257812500e+01,1.440005748525940987e-02,2.240059399193401362e+02,1.574106216430664062e+00,1.600006387251440287e-03,1.117344853525178115e-02,6.404825568165940730e+00,6.406425574553192170e+00,6.410425590521319883e+00,6.480025868366739772e+00
4.265941772460937500e+02,1.160004630756983346e-02,3.031955745065492465e+03,4.265941772460937500e+02,4.760019002071924632e-02,6.724036874563335004e+02,6.544826127050407116e+00,6.592426317071126363e+00,6.556026171761164534e+00,6.683226679547622950e+00
1.779421081542968750e+02,6.000023952191568810e-03,1.612801581280105211e+03,1.743394851684570312e+01,1.884007520988104645e-01,4.639760424886948158e+02,6.786827093122128396e+00,6.975227845220938860e+00,6.978027856398628437e+00,7.063228196519746760e+00
2.860102539062500000e+02,6.400025549003984793e-03,4.009386946210551628e+02,9.280270576477050781e+00,4.000015968127712540e-03,1.614202610914824421e-01,7.186028686741264160e+00,7.190028702709391872e+00,7.193228715483893865e+00,7.262828993329314642e+00
8.948095703125000000e+01,2.520010059920441137e-02,1.975747911469728479e+03,5.722160339355468750e-01,1.200004790438136126e-03,4.548932496568802025e-03,7.408829576165972597e+00,7.410029580956410733e+00,7.416829608102228022e+00,7.601230344232911662e+00
